"","name","t_age","b_age","Midpoint","color"
"Neogene","Neogene",0,5.333,2.6665,"#000000"
"Miocene","Miocene",5.333,23.03,14.1815,"#FFFF00"
"Oligocene","Oligocene",23.03,33.9,28.465,"#FDC07A"
"Eocene","Eocene",33.9,56,44.95,"#FDB46C"
"Paleocene","Paleocene",56,66,61,"#FDA75F"
"Late Cretaceous","Late Cretaceous",66,100.5,83.25,"#A6D84A"
"Early Cretaceous","Early Cretaceous",100.5,145,122.75,"#8CCD57"
"Late Jurassic","Late Jurassic",145,163.5,154.25,"#B3E3EE"
"Middle Jurassic","Middle Jurassic",163.5,174.1,168.8,"#80CFD8"
"Early Jurassic","Early Jurassic",174.1,201.3,187.7,"#42AED0"
"Late Triassic","Late Triassic",201.3,237,219.15,"#BD8CC3"
"Early Triassic","Early Triassic",237,252.17,244.585,"#000000"
"Upper Permian","Upper Permian",252.17,272.3,262.235,"#000000"
"Cisuralian","Cisuralian",272.3,298.9,285.6,"#EF5845"
"Pennsylvanian","Pennsylvanian",298.9,323.2,311.05,"#99C2B5"
"Mississippian","Mississippian",323.2,358.9,341.05,"#678F66"
"Late Devonian","Late Devonian",358.9,382.7,370.8,"#F1E19D"
"Middle Devonian","Middle Devonian",382.7,393.3,388,"#F1C868"
"Early Devonian","Early Devonian",393.3,419.2,406.25,"#E5AC4D"
"Upper Silurian","Upper Silurian",419.2,433.4,426.3,"#000000"
"Lower Silurian","Lower Silurian",433.4,443.8,438.6,"#000000"
"Late Ordovician","Late Ordovician",443.8,458.4,451.1,"#7FCA93"
"Middle Ordovician","Middle Ordovician",458.4,470,464.2,"#4DB47E"
"Early Ordovician","Early Ordovician",470,485.4,477.7,"#1A9D6F"
"Late Cambrian","Late Cambrian",485.4,509,497.2,"#000000"
"Early Cambrian","Early Cambrian",509,541,525,"#000000"
