"","col_id","col_area","section_id","project_id","max_thick","min_thick","t_age","b_age","pbdb_collections"
"1",2,6342.668,1,1,335,232,323.2,351.5,2
"2",2,6342.668,2,1,1,0,353.35,357.05,0
"3",2,6342.668,3,1,7,0,360.425,365,0
"4",2,6342.668,10,1,16,0,437.225,439.075,0
"5",2,6342.668,11,1,2140,297,445.2,534,1
"6",3,4134.107,13,1,522,225,322.15,351.5,7
"7",3,4134.107,14,1,10,5,360.425,365,0
"8",3,4134.107,15,1,54,29,426.3,440.8,1
"9",3,4134.107,16,1,2312,0,445.2,520,1
"10",4,2725.959,17,1,771,253,322.15,351.5,59
"11",4,2725.959,18,1,8,1,360.425,363.475,0
"12",4,2725.959,19,1,100,50,426.3,440.8,0
"13",4,2725.959,20,1,2026,20,445.2,520,1
"14",5,3339.76,22,1,930,252,322.15,351.5,2
"15",5,3339.76,23,1,2,1,353.35,357.05,0
"16",5,3339.76,24,1,15,1,360.425,365,0
"17",5,3339.76,25,1,214,137,426.3,440.8,0
"18",5,3339.76,26,1,60,0,445.2,450.975,0
"19",5,3339.76,27,1,1401,60,451.0875,493.575,0
"20",6,3861.636,28,1,555,7,322.15,351.5,1
"21",6,3861.636,29,1,2,1,353.35,357.05,0
"22",6,3861.636,30,1,13,6,360.425,365,0
"23",6,3861.636,31,1,60,0,387.7,419.2,0
"24",6,3861.636,32,1,180,120,426.3,440.8,0
"25",6,3861.636,33,1,398,243,445.2,464,0
"26",6,3861.636,34,1,1066,0,470,493.575,1
"27",6,3861.636,35,1,427,0,497.85,513,19
"28",7,3707.575,36,1,1216,108,322.15,351.5,0
"29",7,3707.575,37,1,1,0,353.35,357.05,0
"30",7,3707.575,38,1,60,30,387.7,419.2,0
"31",7,3707.575,39,1,3153,113,449,541,4
"32",8,4714.278,40,1,2895,850,322.15,323.2,1
"33",8,4714.278,40,1,605,48,326.15,351.5,0
"34",8,4714.278,41,1,1,0,353.35,357.05,0
"35",8,4714.278,42,1,3,0,360.425,365,0
"36",8,4714.278,43,1,11,1,387.7,419.2,0
"37",8,4714.278,44,1,150,60,426.3,440.8,0
"38",8,4714.278,45,1,351,79,449.75,464,1
"39",8,4714.278,46,1,1812,785,470,516.5,3
"40",9,17954.863,47,1,2255,1500,322.15,323.2,17
"41",9,17954.863,47,1,824,0,326.15,351.5,0
"42",9,17954.863,48,1,23,0,387.7,419.2,0
"43",9,17954.863,49,1,3138,940,456.823,516.5,13
"44",10,4806.589,50,1,973,335,322.15,351.5,3
"45",10,4806.589,51,1,2,0,353.35,357.05,0
"46",10,4806.589,52,1,13,0,360.425,363.475,0
"47",10,4806.589,53,1,300,50,426.3,440.8,0
"48",10,4806.589,54,1,1880,325,445.2,493.575,0
"49",11,3954.337,55,1,928,210,322.15,337.125,5
"50",11,3954.337,55,1,320,0,341.375,351.5,0
"51",11,3954.337,56,1,2,0,352.7334,353.9666,0
"52",11,3954.337,57,1,7,0,360.425,363.475,0
"53",11,3954.337,58,1,140,0,387.7,419.2,0
"54",11,3954.337,59,1,400,0,426.3,440.8,0
"55",11,3954.337,60,1,6350,3300,445.2,541,0
"56",12,15409.04,61,1,1704,480,313.75,323.046,3
"57",12,15409.04,62,1,752,182,326.15,370.4,3
"58",12,15409.04,63,1,995,282,439.075,459.044,33
"59",12,15409.04,64,1,2028,153,471.2834,516.5,0
"60",13,6651.15,65,1,2534,1002,313.75,370.4,2
"61",13,6651.15,66,1,2407,610,422.05,459.8,3
"62",13,6651.15,67,1,2117,381,468.55,516.5,2
"63",14,6516.808,68,1,2896,618,449.835,459.352,0
"64",14,6516.808,69,1,21338,1734,471.925,690.25,0
"65",15,6011.219,70,1,496,0,340.6667,365,0
"66",15,6011.219,71,1,6019,893,456.6583,461.536,10
"67",15,6011.219,73,1,3886,521,471.2834,524.83,2
"68",15,6011.219,73,1,20257,2897,527.14,597.4,0
"69",16,2823.713,74,1,2950,639,326.15,373.9,1
"70",16,2823.713,6347,1,3,0,391.9,396.875,0
"71",16,2823.713,77,1,3,0,408.1333,408.6667,0
"72",16,2823.713,6348,1,3,0,410,412.9,0
"73",16,2823.713,75,1,6353,1365,422.05,461.228,5
"74",16,2823.713,76,1,4160,525,471.6,517.76,1
"75",17,13346.396,78,1,125,0,312,320.05,8
"76",17,13346.396,79,1,349,212,341.375,373.9,15
"77",17,13346.396,80,1,48,0,388.4,392.3666,0
"78",17,13346.396,81,1,634,323,419.2,465.02,6
"79",17,13346.396,82,1,530,360,485.4,503,0
"80",18,12817.55,83,1,428,1,298.9,323.2,5
"81",18,12817.55,6349,1,135,0,325.1667,337.8333,0
"82",18,12817.55,84,1,617,150,340.6667,373.9,14
"83",18,12817.55,85,1,12,0,391.9,404.025,0
"84",18,12817.55,86,1,1185.5,549,410.8,465.3501,132
"85",18,12817.55,87,1,1426,414,468.5,538.2,0
"86",19,8704.973,88,1,191,0,300.1,306,0
"87",19,8704.973,88,1,279,0,320.89,322.99,0
"88",19,8704.973,6350,1,1150,127,325.1667,374.4666,2
"89",19,8704.973,90,1,10,0,386.45,387.7,0
"90",19,8704.973,91,1,30,0,391.9,404.025,0
"91",19,8704.973,92,1,6,0,408.4,410.72,0
"92",19,8704.973,93,1,1502.5,744,411.01,465.5,1
"93",19,8704.973,94,1,3860,1290,470,538.2,0
"94",20,4162.043,6351,1,1663,797,312,322.5,7
"95",20,4162.043,95,1,413,145,326.15,335,0
"96",20,4162.043,6354,1,1100,200,336.4167,370.76,4
"97",20,4162.043,96,1,30,0,391.9,404.025,0
"98",20,4162.043,97,1,10,0,407.6,410,0
"99",20,4162.043,98,1,1331,535,410.8,465.02,0
"100",20,4162.043,99,1,2150,930,470,538.2,0
"101",21,2433.784,100,1,2992,710,317.25,381.775,1
"102",21,2433.784,101,1,15,0,396.875,417.1,0
